epoch|accuracy|loss|val_accuracy|val_loss
0|0.67882717|150.34605545588798|0.7796323299407959|10.837673726148749
1|0.6944068|4.7856071791059165|0.7503628730773926|0.7280505498538689
2|0.7212599|0.6447624006884135|0.7989840507507324|0.49866973270986986
3|0.7509677|0.5124386387785422|0.8265602588653564|0.425494074518691
4|0.77738535|0.453193155379228|0.8500241637229919|0.3610093573988724
5|0.7983356|0.4153278189723349|0.8161587119102478|0.40341712448639633
6|0.80806077|0.3984918796060993|0.881954550743103|0.2767176036103428
7|0.82122123|0.3518416255522171|0.8921141624450684|0.26375145573632175
8|0.8496226|0.343729753650686|0.9063860774040222|0.29532672632819046
9|0.8650571|0.3294165709221965|0.9134010672569275|0.2520908290023785
10|0.8737662|0.3145577224594771|0.9046927690505981|0.2696476953007717
11|0.8786046|0.3132555396524093|0.9201741814613342|0.23390104710680884
12|0.8843623|0.2901941136589866|0.9194484949111938|0.23217624619091312
13|0.8907974|0.28201276580427287|0.9192065596580505|0.2576622861736226
14|0.895539|0.26744284018663644|0.9221093654632568|0.21798045798436883
15|0.90231276|0.27519372661904623|0.9349298477172852|0.20202966052435076
16|0.9057964|0.24707688822929924|0.9325109124183655|0.19918581862119758
17|0.91286045|0.2519581569465051|0.9172714352607727|0.22981058864934928
18|0.9136346|0.24025581168879248|0.9310594797134399|0.18684767232058874
19|0.91765046|0.24744272202928178|0.9431543350219727|0.1643308188295849
20|0.918473|0.23401549215101747|0.9421867728233337|0.16916176130302182
21|0.9227308|0.23421145291526382|0.9317851662635803|0.21419003990807278
22|0.92432743|0.22706419461373784|0.94121915102005|0.18312962884538464
23|0.9251016|0.21038185456273448|0.9446057081222534|0.17105820326627483
24|0.9248113|0.29451563957814025|0.9458152055740356|0.16269199832026718
25|0.9291175|0.21263487903804643|0.9441218972206116|0.17572990205475947
26|0.9285369|0.2316856342604849|0.9472665786743164|0.16137844116490535
27|0.9315851|0.21450211243707207|0.9467827677726746|0.16616169415526075
28|0.93279463|0.2036075043261847|0.9484760761260986|0.191553029508826
29|0.9331817|0.215625966762652|0.9467827677726746|0.15576445283552962
30|0.93526226|0.20116737083203332|0.9489598274230957|0.162912746587697
31|0.932843|0.20538884844289934|0.9521045088768005|0.15480057456150803
32|0.9349235|0.2338698798870242|0.9472665786743164|0.18233928717330394
33|0.9378266|0.22722756385641724|0.9513788223266602|0.16423797042230276
34|0.93729436|0.1999935592431521|0.9499274492263794|0.1669841850790126
35|0.9401006|0.18895662886701425|0.9516206979751587|0.1605726392821638
36|0.93937486|0.19149772014929614|0.9535558819770813|0.18913597338546806
37|0.94039094|0.21328343290100943|0.9501693248748779|0.1648296617804141
38|0.9416489|0.17758803583936808|0.9533140063285828|0.15862426650541442
39|0.9423747|0.1879762629227641|0.9523463845252991|0.1472598228641449
40|0.94368106|0.17267626033130135|0.9535558819770813|0.1665237071609866
41|0.9429553|0.17338386413776277|0.9542815685272217|0.1559110211472495
42|0.94513255|0.17664118558427963|0.9528301954269409|0.1504542474073088
43|0.94426167|0.19008554689238652|0.9501693248748779|0.17913202309181683
44|0.94677764|0.1768531923915723|0.949201762676239|0.20130036208268579
45|0.945568|0.17783665923372513|0.9525883197784424|0.17905936378987444
46|0.9465841|0.17715926395842016|0.9533140063285828|0.15582253653817438
47|0.9450842|0.16925743449488714|0.9528301954269409|0.1691533015382192
48|0.9485678|0.17628496067422905|0.9523463845252991|0.15462020381268637
49|0.9475034|0.16353325937711133|0.9528301954269409|0.18716465711708974
50|0.9486162|0.15988660527049675|0.9525883197784424|0.16293528631336746
51|0.94585836|0.1626994217448016|0.9547653794288635|0.15540737173207786
52|0.94730985|0.1672597452464638|0.9537977576255798|0.18684831381305497
53|0.948084|0.16243347558617385|0.9542815685272217|0.16118672243569518
54|0.9475518|0.16646849507805178|0.9562167525291443|0.1555124238948056
55|0.9502613|0.1669323901869883|0.9533140063285828|0.1848238523766564
56|0.94997096|0.1554682400125887|0.9533140063285828|0.19921291358931145
57|0.951229|0.1617772281501541|0.9533140063285828|0.1599390479061531
58|0.95035803|0.15698635836265432|0.9494436383247375|0.21322509330658157
59|0.9529224|0.15079424287298326|0.9516206979751587|0.15758190612949838
60|0.95147085|0.15062214327153833|0.9550072550773621|0.1578891646417951
61|0.9507935|0.15742355509539835|0.9545234441757202|0.15953117831063604
62|0.9532127|0.1695866585989074|0.9547653794288635|0.17112461945026694
63|0.95301914|0.14635178934727228|0.9552491307258606|0.1738249613111816
64|0.9519063|0.14471582038382486|0.9482341408729553|0.179418344513829
65|0.95369655|0.14236398174629142|0.9523463845252991|0.16590087812882318
66|0.9501161|0.14396059728664287|0.9508950114250183|0.16781648712338143
67|0.95572865|0.1475270141009115|0.9552491307258606|0.19604323979559068
68|0.9540836|0.1482465769601717|0.9518625736236572|0.21234829888922843
69|0.9544223|0.14465958679728289|0.9489598274230957|0.18626124583757842
70|0.9523902|0.14432283386498695|0.9545234441757202|0.17175148224911368
71|0.954132|0.13949299589713676|0.9557329416275024|0.1921276959983058
72|0.95698667|0.12948586354553066|0.9508950114250183|0.20843095461066125
73|0.952874|0.1428361215246746|0.9530720710754395|0.1672455964598266
74|0.95480937|0.12901717035641677|0.9533140063285828|0.19035272732067063
75|0.9555835|0.12779548346927094|0.9516206979751587|0.2162782717973758
76|0.95572865|0.1286334768557701|0.9518625736236572|0.15462105621389566
77|0.9561641|0.12907670088038814|0.949201762676239|0.20195083688524648
78|0.957035|0.12227215581269474|0.9540396928787231|0.17502421728931422
79|0.9575673|0.12934763562161342|0.9545234441757202|0.1917097229397003
80|0.95727694|0.1285176557548761|0.9545234441757202|0.20210405461847003
81|0.95843816|0.12144609718349747|0.9506531357765198|0.23630599942135821
82|0.9586317|0.11585398543808477|0.949201762676239|0.22525346325282378
83|0.95780915|0.13018845905787205|0.9550072550773621|0.19066594231803463
84|0.9571802|0.12178284902855947|0.9545234441757202|0.19562365005831817
85|0.9582446|0.11973317581904287|0.9542815685272217|0.22458065478883624
86|0.9595994|0.11279785340370328|0.9494436383247375|0.22829311555517315
87|0.9602768|0.11762849155698821|0.9554910659790039|0.2055868024000178
88|0.95795435|0.11810874644517667|0.9511368870735168|0.22235199326066274
89|0.9613896|0.10816073012618463|0.9518625736236572|0.22878548737937954
90|0.95950264|0.11665660585434497|0.9533140063285828|0.23513379706007648
91|0.96051866|0.10788497875259119|0.9533140063285828|0.23442395216725445
92|0.96298623|0.11216536953321435|0.9535558819770813|0.33857619716282567
93|0.95940584|0.10713519857345985|0.9552491307258606|0.27948500052361197
94|0.9601316|0.11010667594455764|0.9533140063285828|0.26234507301203225
95|0.9598897|0.10702748362206388|0.9535558819770813|0.25964905054141313
96|0.96056706|0.11084082532758428|0.9535558819770813|0.30953150090816
97|0.9610025|0.10798914623555811|0.9533140063285828|0.24911461570843096
98|0.96114767|0.10671228198945604|0.9547653794288635|0.2093037045053889
99|0.96274436|0.10636184570612611|0.9567005038261414|0.2286652420013494
100|0.9607606|0.10575829874720545|0.9521045088768005|0.18828872332090793
101|0.9623089|0.11426758430415135|0.9540396928787231|0.29168622679449707
102|0.96322817|0.10055378746030084|0.955974817276001|0.2582830611668639
103|0.9628895|0.1004554544596601|0.949201762676239|0.254186247302878
104|0.9625508|0.09976385439217425|0.9562167525291443|0.34510527391853574
105|0.9618734|0.10329433271017208|0.9542815685272217|0.29728692778655164
106|0.9628895|0.10262567871644046|0.9477503895759583|0.19707186855321698
107|0.96366364|0.09421910189390643|0.9540396928787231|0.28520921300907437
108|0.96371204|0.10107081680221024|0.9552491307258606|0.20786796420106118
109|0.96303463|0.09534144613373458|0.9533140063285828|0.2995951011322752
110|0.9640023|0.09733939491239765|0.9545234441757202|0.20082268215459964
111|0.9622605|0.10693111832451724|0.9564586281776428|0.27490197337648403
112|0.9649216|0.0981538558001384|0.9574262499809265|0.2617092926143504
113|0.9646313|0.09642228587397714|0.9552491307258606|0.25186291165437225
114|0.9634701|0.09530475722614676|0.9574262499809265|0.2536373978140969
115|0.963083|0.10321460343004772|0.9569424390792847|0.239138020024994
116|0.9646797|0.09334007710022324|0.9501693248748779|0.37313359569222904
117|0.9645345|0.09311381238778556|0.9535558819770813|0.30007688146774814
118|0.96695375|0.09186199481485659|0.957668125629425|0.2486721209183256
119|0.9650184|0.10253573143870959|0.9552491307258606|0.32223816522377724
120|0.9655022|0.09370985847577173|0.9600870609283447|0.33408238775902
121|0.96419585|0.09637944625399665|0.9569424390792847|0.2908858153689698
122|0.96690536|0.09210210639095892|0.957668125629425|0.3314978384890877
123|0.96497|0.08968724632098224|0.9550072550773621|0.2823195525512179
124|0.964341|0.09349517034554541|0.9564586281776428|0.32640180936111135
125|0.96782464|0.08974620842924426|0.9562167525291443|0.23468597268619915
126|0.96511513|0.09474262965831186|0.9528301954269409|0.3476195350383063
127|0.9677279|0.09185310199464547|0.9550072550773621|0.2879305830541647
128|0.9667602|0.09558269284767963|0.958635687828064|0.3118601903052623
129|0.9670989|0.08857919349228249|0.958635687828064|0.34736088000465026
130|0.96743757|0.08957401407694757|0.9552491307258606|0.27120226843667367
131|0.96545386|0.09571432500921921|0.9581519365310669|0.278445276593493
132|0.9671957|0.09027527068232069|0.957668125629425|0.37357242486877146
133|0.96840525|0.08738655299640426|0.9569424390792847|0.2874889628692243
134|0.9660828|0.08840001313921006|0.9557329416275024|0.28678601169909146
135|0.9676795|0.08936292009267005|0.9554910659790039|0.32035957238613033
136|0.9671957|0.08267904545095965|0.9528301954269409|0.31823669699118456
137|0.96845365|0.0850406152922433|0.9552491307258606|0.23549089226448194
138|0.96855044|0.08269679204757102|0.9564586281776428|0.24829031346094568
139|0.96845365|0.08657548806008412|0.9540396928787231|0.23894389603065302
140|0.96976|0.08328636989894356|0.9533140063285828|0.28979983956097516
141|0.96627635|0.08937652352840453|0.9581519365310669|0.31286735239384195
142|0.9683085|0.0885775717480376|0.9562167525291443|0.34403199877321405
143|0.96976|0.0840236665459304|0.9508950114250183|0.2652574808169634
144|0.9695181|0.08071856575963782|0.9564586281776428|0.3476575056481142
145|0.9687923|0.09093215675292404|0.955974817276001|0.3496716858744333
146|0.96990514|0.07743752959164701|0.955974817276001|0.5052893661218504
147|0.96787304|0.08907574487088357|0.9542815685272217|0.31672200126583355
148|0.9701471|0.08036619848826763|0.9581519365310669|0.41469498919471776
149|0.9695181|0.07963015229801894|0.9588776230812073|0.3765398224137172
150|0.96990514|0.08840898754017852|0.9583938121795654|0.3277530092863167
151|0.9695181|0.08071883370440495|0.9564586281776428|0.3682989957082312
152|0.9724211|0.07443109949218343|0.9588776230812073|0.34889060642388225
153|0.96995354|0.08098186182374763|0.9583938121795654|0.3486130737024168
154|0.9703406|0.07937625179095012|0.9567005038261414|0.4085344599247209
155|0.9694213|0.07992163879891671|0.955974817276001|0.6396302198752378
156|0.97053415|0.07808002786653541|0.9540396928787231|0.3549254907175257
157|0.971018|0.1290219509420772|0.9593613743782043|0.358740681314676
158|0.971018|0.06934709744089942|0.957668125629425|0.41476245519327093
159|0.9708245|0.0808637714680722|0.9530720710754395|0.3096658712893681
160|0.9707761|0.08075418088023496|0.958635687828064|0.3823392400432452
161|0.9722276|0.09192573239344426|0.9528301954269409|0.3446336079751113
162|0.9708245|0.07280327155912132|0.9567005038261414|0.6294355552785916
163|0.97217923|0.07072993314053372|0.9571843147277832|0.46353379227887853
164|0.9694213|0.08107368084392073|0.9569424390792847|0.34000963050499017
165|0.9691794|0.08786247948803569|0.9540396928787231|0.2686049076573077
166|0.97329205|0.07250456045862437|0.9581519365310669|0.31187388616653244
167|0.971018|0.0950029702514312|0.9581519365310669|0.39676318367033925
168|0.96961486|0.07861616632403477|0.9610546827316284|0.4167096425671478
169|0.9712599|0.07553181951266782|0.957668125629425|0.4202918435388795
170|0.9731469|0.08114877095522054|0.958635687828064|0.4313775303863245
171|0.97261465|0.06972842150190617|0.9518625736236572|0.3901811145501951
172|0.97111475|0.0762768322214389|0.9547653794288635|0.4701425284075172
173|0.9715986|0.07640086860329819|0.9571843147277832|0.4572961418076189
174|0.97324365|0.0671003467149388|0.955974817276001|0.5245398513118483
175|0.97261465|0.07641078278390633|0.9533140063285828|0.4234960794333507
176|0.9719373|0.07319265866454944|0.9593613743782043|0.3830685785097031
177|0.9739694|0.08730037339739696|0.9610546827316284|0.37090606324962216
178|0.97208244|0.076363999606367|0.9581519365310669|0.4448754755148405
179|0.9725179|0.07137225273847349|0.9557329416275024|0.5018408258121603
180|0.9731469|0.0750477290159848|0.958635687828064|0.29488513685391615
181|0.9719857|0.07516062050734817|0.9579100012779236|0.3531817542105178
182|0.9735823|0.07599109308860831|0.9567005038261414|0.44133030382053945
183|0.9733888|0.0670815562057569|0.960328996181488|0.4469665118790965
184|0.9703406|0.07849813047425185|0.9567005038261414|0.4003903597059836
185|0.9737275|0.07023865164684585|0.957668125629425|0.4219150065683661
186|0.9734856|0.0702505842087715|0.9564586281776428|0.5533212070944924
187|0.97416294|0.07046244055168274|0.9588776230812073|0.44609443427401
188|0.9725179|0.08403253670978678|0.9569424390792847|0.488893123196702
189|0.9746952|0.06929493670984281|0.9487179517745972|0.487958875899737
190|0.9718889|0.08152041102640399|0.9598451852798462|0.36493994224227216
191|0.97382426|0.07636704190322549|0.9583938121795654|0.39818453558066874
192|0.9737275|0.06578267458411742|0.9591194987297058|0.4405160621565554
193|0.9740662|0.07132397347944766|0.9528301954269409|0.4954969267021589
194|0.9733888|0.07737362616013599|0.9591194987297058|0.4721399703115787
195|0.97484034|0.06650445685410653|0.9579100012779236|0.41150217513041504
196|0.9724211|0.0750240094762188|0.9496855139732361|0.3720459066039419
197|0.9752274|0.06376843123572556|0.9567005038261414|0.33608270545021945
198|0.97595316|0.06931348350558748|0.9596033096313477|0.4807094407646796
199|0.97425973|0.0707077493302442|0.960328996181488|0.464805143376624
